state,u_rate,cpi_change_pct,spending_pressure_ratio,unemployment_score,cpi_score,spending_score,pressure_score
Negeri Sembilan,3.0,4.53,0.69,37.21,84.45,86.59,69.41
Pahang,1.7,4.79,0.71,6.98,92.33,96.89,65.40
Melaka,2.4,3.99,0.71,23.26,67.71,95.66,62.21
Pulau Pinang,2.7,4.65,0.64,30.23,88.13,65.11,61.16
Johor,2.5,5.04,0.63,25.58,100.00,57.28,60.95
Kelantan,4.6,1.79,0.72,74.42,0.00,100.00,58.14
Sabah,5.7,3.62,0.54,100.00,56.27,16.74,57.67
Terengganu,2.9,3.89,0.66,34.88,64.49,73.59,57.65
Perlis,3.2,3.23,0.68,41.86,44.27,80.79,55.64
Perak,3.7,2.52,0.68,53.49,22.48,80.07,52.01
W.P. Kuala Lumpur,3.2,4.17,0.59,41.86,73.12,38.29,51.09
Kedah,2.4,3.24,0.68,23.26,44.74,81.49,49.83
Selangor,1.8,4.74,0.55,9.30,90.78,22.35,40.81
W.P. Labuan,4.7,3.08,0.51,76.74,39.77,0.00,38.84
W.P. Putrajaya,1.4,3.15,0.66,0.00,41.99,72.96,38.32
Sarawak,3.1,2.62,0.61,39.53,25.67,47.39,37.53
